id,text_chunk,document_source,partment,role,doc_id
0,"发行人在行业中的竞争情况

（一）发行人在行业中的竞争地位

公司成立于2007年，是国内领先的数智化服务供应商，被工信部认定为专精特新“小巨人”企业，通过CMMI 5级能力成熟度认证，还荣获高新技术企业称号。自成立以来，公司依托长期的技术积累、优质的产品以及专业的服务质量管理，已经发展成为面向全国的数智化服务领域综合服务商。截至2024年12月31日，公司业务已经覆盖全国主要省份，并在欧洲设立分支机构。

在与主要客户关系方面，公司已与华为合作超17年，是昇腾生态运营伙伴、昇腾原生开发伙伴（大模型方向）、昇腾算力使能服务伙伴，是华为政企主流服务供应商，是华为终端解决方案合作伙伴。曾先后荣获华为各类奖项50余项，近2年连续获得其“中国区技术服务大比武一等奖”，近2年连续获得其“地区部能力建设专项奖”，获得其“政企服务金牌供应商奖”，获得其“企业服务战略贡献奖”，曾连续3年获得华为终端“黄金级解决方案合作伙伴”，获得华为云“优秀解决方案供应商”，华为云CTSP资质，昇腾创新大赛（杭州）银奖、开发者大赛（贵州）一等奖、鲲鹏创新大赛银奖等。",1_1_竞争情况（天宽科技）.docx,,,645c304b-076d-0c38-2029-3f04c68b9dc9
1,"同时，公司在移动终端安全领域还与荣耀、OPPO、VIVO、中国移动、中国电信、中国联通等深度合作，是荣耀企业战略合作伙伴、OPPO企业业务战略合作伙伴、VIVO行业合作伙伴，在中国移动、中国电信、中国联通等运营商上架产品数十款。

XX-XXXX 年，公司营业收入保持快速增长，分别为 xxx 万元、xxxx 万元及 xxxx 万元，年均复合增长率为 xxxx%。根据可比上市公司同期数据，公司业务规模居于行业前列水平。

（二）发行人在行业中的竞争优势和劣势

1、竞争优势

（1）AI产业的先行者，先发领跑优势

公司是国内最早一批承担昇腾人工智能计算中心建设和运营的服务商，自2021年起负责承建与运营杭州市人工智能计算中心，并实现了连续三年的扩容，三期总建设规模达到了约6亿元。通过与华为的紧密合作，基于昇腾AI平台，公司提供涵盖咨询、集成、算力、模型、数据及服务在内的一站式AI解决方案，在昇腾AI生态系统中占据了重要的行业地位。

（2）AI生态联接广，未来充满爆点。",1_1_竞争情况（天宽科技）.docx,,,645c304b-076d-0c38-2029-3f04c68b9dc9
2,"（2）AI生态联接广，未来充满爆点。

人工智能的要素除了算力，模型，数据，还需要资源政策，科研创新，场景落地能力等要素，将上述要素有机地结合在一起，才能打造闭环的AI商业模式。公司通过平台化运营，深度融合对各级政府政策的精准解读与资源整合能力，高效协同高校及创新企业的前沿科研实力，并依托自身在解决方案设计、技术集成与商业化落地的全链条能力，构建起“政产学研用”一体化的创新生态闭环。并将国产AI技术赋能到央国企的产业龙头，助力打造新质生产力，构建可复制的、可迭代的应用场景，实现强黏性的商业闭环。

（3）技术研发优势",1_1_竞争情况（天宽科技）.docx,,,645c304b-076d-0c38-2029-3f04c68b9dc9
3,"（3）技术研发优势

公司在ICT领域耕耘10多年，是国内最早开始移动智能终端安全技术研发的企业之一，开创性地提出基于国产华为终端通过框架虚拟化技术来实现端侧的隔离和安全的创新方案。也是国内最早一批基于国产昇腾AI技术开展研发创新的企业之一，开展包括昇腾AI算力优化、模型压缩、训推一体化、端侧模型小型化等技术创新，在算力&模型优化领域技术积累丰富。近两年连续获得浙江省、杭州市国产AI算力&模型优化领域的重大科技项目支持。截至 2024 年 12 月 31 日，公司已获得 80余项专利，其中发明专利60余项，并获得160余项软件著作权。

同时，公司通过CMMI 5能力成熟度认证，确保技术研发创新工作在全流程中高质量交付与持续优化。通过核心技术和创新产品的深度应用，公司在市场竞争中持续构建差异化优势，实现市场份额与品牌价值的双重跃升。

（4）领先、全面的昇腾AI技术服务优势",1_1_竞争情况（天宽科技）.docx,,,645c304b-076d-0c38-2029-3f04c68b9dc9
4,"（4）领先、全面的昇腾AI技术服务优势

公司联合华为于2024年上半年向智能体公司实在智能提供昇腾+DeepSeek（V1 版本）的 MAAS 服务。同时，公司还是全国首个助力客户完成昇腾+DeepSeek V3适配的企业。并通过深度适配调优，破解DeepSeek-671B千亿级模型在昇腾端的部署瓶颈，“榨干”AI硬件性能，降低的算力成本、提升用户体验。

同时，公司是华为云上首家发布“天宽昇腾云行业大模型适配服务解决方案”的服务商，拥有昇腾行业模型开发、模型迁移、模型调优、算子开发等全栈式 AI 解决方案服务能力。

（5）端侧AI+安全提前布局，打造“端侧安全智能体”

公司将AI模型优化上的能力赋能终端侧，开创性打造端侧AI解决方案，以国产AI终端、极简模型压缩算法、系统级隐私保护三位一体，重构安全可信的智能终端生态。未来可应用在手机、平板、PC电脑、具身智能机器人、无人机、汽车、专用设备等各类形态的端上。率先在国内主流终端厂商上实现100%的端侧模型推理，开创了国产大模型在国产智能终端的高效落地先河。",1_1_竞争情况（天宽科技）.docx,,,645c304b-076d-0c38-2029-3f04c68b9dc9
5,"端侧 AI 极致压缩技术与安全技术深度融合，不仅实现了两大核心业务的协同创新与双向赋能，更构筑了其在端侧智能领域难以逾越的技术壁垒与竞争优势。

（6）专业的人才队伍优势

公司拥有一支精干、高效的专业技术队伍，拥有华为专家级HCIE认证的工程师300余名，在ICT技术服务领域拥有丰富的经验。同时，公司是国内拥有华为昇腾专家人才最多的公司之一，完成200+行业模型迁移适配，在昇腾AI技术研发和服务领域拥有丰富的经验，打造了昇腾AI迁移和调优领域绝对的经验壁垒。

在人才培养方面，公司拥有一套完善的人才培养体系及激励机制，公司重视人才引进、培养及发展。此外，公司通过与高校的深度合作，为公司的高质量发展特别是AI业务的高质量发展储备了大量的优秀专业人才。

（7）品牌及良好的口碑优势",1_1_竞争情况（天宽科技）.docx,,,645c304b-076d-0c38-2029-3f04c68b9dc9
6,"（7）品牌及良好的口碑优势

公司成立以来一直扎根于ICT行业，树立了良好的品牌和口碑，赢得了政府、客户和伙伴的一致认可。被工信部认定为专精特新“小巨人”企业，通过CMMI 5级能力成熟度认证，还荣获高新技术企业称号。公司已与华为合作超17年，是昇腾生态运营伙伴、昇腾原生开发伙伴（大模型方向）、昇腾算力使能服务伙伴，是华为政企主流服务供应商，是华为终端解决方案合作伙伴。曾先后荣获华为各类奖项50余项，近2年连续获得其“中国区技术服务大比武一等奖”，近2年连续获得其“地区部能力建设专项奖”，获得其“政企服务金牌供应商奖”，获得其“企业服务战略贡献奖”，曾连续3年获得华为终端“黄金级解决方案合作伙伴”，获得华为云“优秀解决方案供应商”，华为云CTSP资质，昇腾创新大赛（杭州）银奖、开发者大赛（贵州）一等奖、鲲鹏创新大赛银奖等。同时，公司在移动终端安全领域还与荣耀、OPPO、VIVO、中国移动、中国电信、中国联通等深度合作，是荣耀企业战略合作伙伴、OPPO企业业务战略合作伙伴、VIVO行业合作伙伴。

   （8）高质量的渠道销售体系优势",1_1_竞争情况（天宽科技）.docx,,,645c304b-076d-0c38-2029-3f04c68b9dc9
7,"（8）高质量的渠道销售体系优势

公司在政企行业建立了完善的渠道销售网络，拥有超过200家核心渠道合作伙伴，全面覆盖全国所有省份、直辖市和自治区。同时，公司与三大运营商、华为、荣耀、OPPO、VIVO等头部企业建立了深度合作关系，形成了强大的资源协同效应。通过这一高效的渠道体系，公司能够迅速将产品和服务推向市场，精准触达目标客户，提升市场响应速度和服务质量，进一步巩固行业领先地位。

2、竞争劣势

（1）融资结构单一

伴随业务规模的持续扩张，特别是AI业务的持续发展，公司资金需求显著攀升，但现有融资结构单一化问题凸显——目前主要依赖内部盈余积累及银行信贷支持，难以匹配高速增长阶段的资本需求，对市场拓展及战略布局形成制约。

（2）人才资源缺乏",1_1_竞争情况（天宽科技）.docx,,,645c304b-076d-0c38-2029-3f04c68b9dc9
8,"（2）人才资源缺乏

公司业务横跨人工智能、云计算、网络、大数据、数据库、容器、软件信息及电子信息等多个技术密集型领域。然而，由于高端复合型人才的培养周期长、成本高等因素，此类人才在市场上供不应求，导致企业在招募上需承担较高成本。鉴于企业规模与资金实力的限制，目前公司在高端复合型人才，尤其是AI领域的人才方面存在不足。为支持公司的持续发展，亟需扩大人才团队，以弥补这一缺口。",1_1_竞争情况（天宽科技）.docx,,,645c304b-076d-0c38-2029-3f04c68b9dc9
0,"一、AI运营

天宽是华为生态伙伴中运营算力中心数量最多，理念最新，能力最强的AI运营商

杭州AICC的运营效果目前在国内是属于第一梯队（北京、深圳、杭州），杭州市政府很典型的小政府、大市场，主要依靠市场自身的运作机制，北京、深圳在政府行业背书有天然的优势，且政府参与程度较深。像第二梯队里的天津、宁波等算力中心，算力全免费，杭州AICC是收费的，且费用不低；（杭州910B租赁费11000/p每月）

天津、山东、福州等地市的AICC算力中心，都邀请天宽去做运营管理

在华东片区的算力商业市场，占据了英伟达的主要市场份额（这部分要注意交流场景，选择性介绍这块的能力）。

算力运营优势：

对于政策的理解和利用：首先，天宽深入研究和解读政策文件（政府、华为等），充分利用政策帮助客户和伙伴降本增效，提高品牌知名度；

技术能力：一方面我们联合客户和伙伴连续几年申请省、市国产AI相关的重大科技项目；另一方面我们有专业的技术专家团队，保障模型在国产化算力平台上的落地。

生态链接能力：我们持续发展了一批国产化算力生态的用户，包括模型企业、高校、运营商等。",公司能力交流口径-2025:02定稿版.docx,,,03ff5429-4ad2-3d69-6f47-1caa4113c3e1
